nazwa leku,identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
5 Fluorouracil - Ebewe,05909990450633,Znajduje się w załącznikach: C.26.,,bezpłatny,0,1
5-Fluorouracil-Ebewe,05909990336258,Znajduje się w załącznikach: C.26.,,bezpłatny,0,2
Abasaglar,05909991201982,Cukrzyca typu I u dorosłych; młodzieży i dzieci od 6 roku życia; Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca typu 1 u dzieci w wieku od 2 do 6 lat oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO),,30%,91.78,3
Abasaglar,05909991201982,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,3
Abasaglar,05909991201982,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,3
Abevmy,05901797710972,Znajduje się w załącznikach: B.120.,,bezpłatny,0,4
Abevmy,05901797710972,Znajduje się w załącznikach: C.82.a.; C.82.b.; C.82.c.,,bezpłatny,0,4
Abevmy,05901797710989,Znajduje się w załącznikach: C.82.a.; C.82.b.; C.82.c.,,bezpłatny,0,5
Abilify,05038256002573,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,3.98,6
Abilify,05901878600888,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,3.2,7
Abilify,05901878600895,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,5.97,8
Abilify,05903792743528,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,3.2,9
Abilify,05903792743535,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,5.97,10
Abilify,05909990002306,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,7.71,11
Abilify,05909990002337,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,6.03,12
Abilify,05909990002382,Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,11.95,13
Abilify Maintena,05702157142200,Schizofrenia u dorosłych pacjentów; u których uzyskano odpowiednią stabilizację podczas leczenia arypiprazolem w postaci doustnej; w przypadku nawrotu objawów psychotycznych w wyniku udokumentowanego; uporczywego braku współpracy chorego,,bezpłatny do limitu,0,14
Abra,5907581253625,Cukrzyca typu I; Pozostałe typy cukrzycy wymagające co najmniej 3 wstrzyknięć insuliny na dobę oraz terapia cukrzycy za pomocą pompy insulinowej,,ryczałt,3.48,15
Abra,5907581253625,Cukrzyca,,30%,11.65,15
Abraxane,05909990930265,Znajduje się w załącznikach: B.85.,,bezpłatny,0,16
Absenor,05909990042364,Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,3.56,17
Absenor,05909990042364,Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,0,17
Absenor,05909990042371,Padaczka,neuralgia lub neuropatia w obrębie twarzy,ryczałt,3.2,18
Absenor,05909990042371,Choroby psychiczne lub upośledzenia umysłowe,,bezpłatny do limitu,0,18
Accofil,05055565713846,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,37.33,19
Accofil,05055565713846,Znajduje się w załącznikach: C.0.06.,,bezpłatny,0,19
Accofil,05055565713853,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,60.93,20
Accofil,05055565713853,Znajduje się w załącznikach: C.0.06.,,bezpłatny,0,20
Accofil,05055565713860,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,8.37,21
Accofil,05055565713860,Znajduje się w załącznikach: C.0.06.,,bezpłatny,0,21
Accofil,05055565713877,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,14.37,22
Accofil,05055565713877,Znajduje się w załącznikach: C.0.06.,,bezpłatny,0,22
Accofil,05055565726068,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,11.29,23
Accofil,05055565726075,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,gorączka neutropeniczna (zakażenie w przebiegu neutropenii) - w przypadkach innych niż określone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych niż określone w ChPL; neutropenia nabyta - w przypadkach innych niż określone w ChPL,ryczałt,20.14,24
Accordeon,05909990940769,Neuralgia popółpaścowa przewlekła; Nowotwory złośliwe; Wieloobjawowy miejscowy zespół bólowy typu I - odruchowa dystrofia współczulna oraz typu II – kauzalgia,,ryczałt,12.19,25
Accordeon,05909990940769,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,12.19,25
Accordeon,05909990940769,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,25
Accordeon,05909990941247,Neuralgia popółpaścowa przewlekła; Nowotwory złośliwe; Wieloobjawowy miejscowy zespół bólowy typu I - odruchowa dystrofia współczulna oraz typu II – kauzalgia,,ryczałt,15.27,26
Accordeon,05909990941247,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,15.27,26
Accordeon,05909990941247,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,26
Accordeon,05909990941407,Neuralgia popółpaścowa przewlekła; Nowotwory złośliwe; Wieloobjawowy miejscowy zespół bólowy typu I - odruchowa dystrofia współczulna oraz typu II – kauzalgia,,ryczałt,19.91,27
Accordeon,05909990941407,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,19.91,27
Accordeon,05909990941407,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,27
Accordeon,05909990941568,Neuralgia popółpaścowa przewlekła; Nowotwory złośliwe; Wieloobjawowy miejscowy zespół bólowy typu I - odruchowa dystrofia współczulna oraz typu II – kauzalgia,,ryczałt,27.34,28
Accordeon,05909990941568,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,27.34,28
Accordeon,05909990941568,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,28
Accu-Chek Active,4015630056316,Cukrzyca typu I; Pozostałe typy cukrzycy wymagające co najmniej 3 wstrzyknięć insuliny na dobę oraz terapia cukrzycy za pomocą pompy insulinowej,,ryczałt,3.48,29
Accu-Chek Active,4015630056316,Cukrzyca,,30%,11.65,29
Accu-Chek Instant,4015630067732,Cukrzyca typu I; Pozostałe typy cukrzycy wymagające co najmniej 3 wstrzyknięć insuliny na dobę oraz terapia cukrzycy za pomocą pompy insulinowej,,ryczałt,6.4,30
Accu-Chek Instant,4015630067732,Cukrzyca,,30%,21.77,30
Accu-Chek Performa,4015630980987,Cukrzyca typu I; Pozostałe typy cukrzycy wymagające co najmniej 3 wstrzyknięć insuliny na dobę oraz terapia cukrzycy za pomocą pompy insulinowej,,ryczałt,3.48,31
Accu-Chek Performa,4015630980987,Cukrzyca,,30%,11.65,31
Accupro 10,05909990707010,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,11.99,32
Accupro 10,05909990707010,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,32
Accupro 20,05909990707119,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,17.21,33
Accupro 20,05909990707119,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,33
Accupro 40,05909991080129,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,25.69,34
Accupro 40,05909991080129,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,34
Accupro 5,05909990706914,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,8.95,35
Accupro 5,05909990706914,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,35
Acebutolol Aurovitas,05909991370916,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,5.6,36
Acebutolol Aurovitas,05909991370916,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,36
Acebutolol Aurovitas,05909991370954,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,7.58,37
Acebutolol Aurovitas,05909991370954,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,37
Acebutolol Gedeon Richter,05909990109920,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,8.3,38
Acebutolol Gedeon Richter,05909990109920,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,38
Acebutolol Gedeon Richter,05909990110018,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,11.71,39
Acebutolol Gedeon Richter,05909990110018,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,39
Acenocumarol WZF,05909990055715,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,5.12,40
Acenocumarol WZF,05909990055715,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,40
Aciclovir Aurovitas,05909991413590,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,7.57,41
Aciclovir Aurovitas,05909991413675,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,11,42
Aciclovir Aurovitas,05909991413736,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,20.74,43
Acidum folicum Richter,05909990109210,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem,ryczałt,3.51,44
Acidum folicum Richter,05909990109210,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,44
Acidum folicum Richter,05909990109319,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,<1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem,ryczałt,5.88,45
Acidum folicum Richter,05909990109319,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,45
Acitren,05909990907731,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,8.29,46
